Skater,Component,J1,J2,J3,J4,J5,J6,J7,J8,J9,Panel_Avg
SAMODELKINA Sofia,Presentation,8.5,8.25,8.25,8.0,8.5,8.25,8.25,8.0,8.5,8.29
SAMODELKINA Sofia,Skating Skills,8.25,8.0,7.75,8.25,8.5,8.25,8.5,7.75,8.0,8.14
GUBANOVA Anastasiia,Composition,8.125,8.25,8.5,8.375,8.0,7.375,8.0,7.875,8.375,8.21
GUBANOVA Anastasiia,Presentation,8.375,8.625,8.5,8.5,8.25,8.25,8.125,8.125,8.375,8.5
GUBANOVA Anastasiia,Skating Skills,8.125,8.25,8.125,8.375,8.125,7.875,7.875,7.875,8.125,8.32
LEVITO Isabeau,Composition,9.25,8.75,9.0,8.5,8.5,8.75,8.75,8.5,9.0,8.75
LEVITO Isabeau,Presentation,8.75,8.25,8.5,8.25,8.5,8.25,8.75,8.5,8.75,8.5
LEVITO Isabeau,Skating Skills,8.5,8.5,8.75,8.0,8.25,8.5,8.5,8.0,8.5,8.39
PINZARRONE Nina,Composition,8.0,8.0,7.75,8.5,8.0,7.75,7.75,7.75,8.25,7.93
PINZARRONE Nina,Presentation,8.0,7.75,8.0,8.25,8.0,8.0,8.25,8.25,8.25,8.11
PINZARRONE Nina,Skating Skills,7.75,8.25,7.75,8.0,7.75,7.75,7.75,8.0,7.75,7.82
HENDRICKX Loena,Composition,8.5,8.25,8.25,8.5,8.25,8.0,8.0,8.5,8.5,8.32
HENDRICKX Loena,Presentation,8.5,8.75,8.25,8.5,8.25,8.75,8.0,8.75,8.5,8.5
HENDRICKX Loena,Skating Skills,8.5,8.0,8.5,8.25,8.5,8.75,8.25,8.25,8.25,8.36
SAUTER Julia,Composition,7.5,7.25,7.25,7.5,7.75,7.75,7.5,7.75,7.5,7.54
SAUTER Julia,Presentation,7.75,7.0,7.75,7.75,8.0,8.0,8.0,8.25,7.75,7.86
SAUTER Julia,Skating Skills,7.75,7.5,7.25,7.75,7.5,8.25,7.75,7.75,7.5,7.64
KARHUNEN Iida,Composition,8.0,7.5,7.5,7.25,7.5,7.75,7.25,7.75,7.25,7.5
KARHUNEN Iida,Presentation,7.75,7.0,7.0,7.5,7.5,7.0,7.5,8.0,7.5,7.39
KARHUNEN Iida,Skating Skills,7.25,7.75,7.0,7.25,7.25,7.5,7.0,7.5,7.5,7.32
MIKUTINA Olga,Composition,7.0,7.5,7.75,7.5,7.75,7.5,7.25,7.5,8.0,7.54
MIKUTINA Olga,Presentation,7.75,7.25,7.5,7.25,7.75,7.5,7.0,7.5,7.75,7.5
MIKUTINA Olga,Skating Skills,7.5,6.75,7.25,7.5,7.5,7.75,7.0,7.25,7.5,7.36
ZHANG Ruiyang,Composition,6.5,7.25,7.5,7.0,7.25,7.25,7.0,7.5,6.25,7.11
ZHANG Ruiyang,Presentation,6.75,7.75,7.0,7.0,7.5,7.75,7.0,7.5,6.5,7.21
ZHANG Ruiyang,Skating Skills,7.0,7.5,7.25,6.75,7.0,7.75,6.75,7.25,6.75,7.07
KAISER Livia,Composition,7.5,6.5,6.25,7.25,6.25,6.75,6.75,6.5,6.25,6.61
KAISER Livia,Presentation,7.25,6.75,6.5,7.0,6.75,6.5,7.0,6.75,6.5,6.75
KAISER Livia,Skating Skills,7.0,6.0,6.5,7.0,6.75,7.5,6.5,7.25,6.75,6.82
KURAKOVA Ekaterina,Composition,7.5,7.0,6.5,7.0,7.25,6.25,6.75,7.0,7.25,6.96
KURAKOVA Ekaterina,Presentation,7.75,7.75,6.75,7.0,7.5,6.75,7.0,6.75,7.5,7.18
KURAKOVA Ekaterina,Skating Skills,7.5,6.75,7.25,6.5,7.25,7.25,6.5,7.5,7.0,7.07
SCHILD Lorine,Composition,7.25,6.0,7.0,6.75,6.5,6.25,6.5,6.25,6.0,6.46
SCHILD Lorine,Presentation,6.75,6.25,6.75,6.75,6.0,6.75,6.25,6.0,6.0,6.39
SCHILD Lorine,Skating Skills,7.5,5.75,6.5,7.0,6.25,7.25,6.5,6.75,6.25,6.64
REPOND Kimmy,Composition,7.0,7.0,5.75,7.25,6.5,7.0,6.0,7.25,6.75,6.79
REPOND Kimmy,Presentation,6.5,6.75,5.25,6.5,6.25,6.0,5.5,6.75,6.75,6.32
REPOND Kimmy,Skating Skills,7.25,6.25,6.25,7.0,6.75,7.0,6.25,7.25,7.0,6.79
SENIUK Mariia,Composition,6.5,6.0,6.5,6.5,6.25,5.75,6.25,6.75,6.0,6.29
SENIUK Mariia,Presentation,7.0,5.75,6.25,6.25,5.75,5.0,6.0,6.75,5.75,6.07
SENIUK Mariia,Skating Skills,6.5,6.5,6.75,6.25,6.5,6.75,6.25,7.25,6.25,6.5
