Skater,Element #,Element,Base Value,Final Score,GOE
Koshiro SHIMADA,3,3A+3T,12.2,13.46,1.26
Koshiro SHIMADA,5,CCoSp4,3.5,3.95,0.45
Koshiro SHIMADA,6,StSq4,3.9,4.62,0.72
Lucas BROUSSARD,1,3T+2T,5.5,6.46,0.96
Lucas BROUSSARD,11,StSq3,3.3,3.91,0.61
Lucas BROUSSARD,12,CCoSp4,3.5,4.35,0.85
Lucas BROUSSARD,2,2A,3.3,3.96,0.66
Lucas BROUSSARD,3,3Lz+3T,10.1,10.94,0.84
Lucas BROUSSARD,4,FCSSp4,3.0,3.43,0.43
Lucas BROUSSARD,6,FCSp4,3.2,3.52,0.32
Lucas BROUSSARD,8,ChSq1,3.0,4.43,1.43
Maxim NAUMOV,1,4S,9.7,6.79,-2.91
Maxim NAUMOV,10,FCCoSp2,2.5,2.61,0.11
Maxim NAUMOV,11,ChSq1,3.0,3.86,0.86
Maxim NAUMOV,12,FSSp4,3.0,3.3,0.3
Maxim NAUMOV,2,3A+2A+SEQ,11.3,11.64,0.34
Maxim NAUMOV,3,3A,8.0,8.23,0.23
Maxim NAUMOV,4,3Lz+3T,10.1,9.85,-0.25
Maxim NAUMOV,5,CCoSp4,3.5,3.7,0.2
Maxim NAUMOV,6,StSq3,3.3,3.77,0.47
Nika EGADZE,10,StSq3,3.3,3.82,0.52
Nika EGADZE,11,ChSq1,3.0,3.93,0.93
Nika EGADZE,12,CSSp3,2.6,3.16,0.56
Nika EGADZE,2,4T,9.5,10.45,0.95
Nika EGADZE,3,4S+3T,13.9,16.12,2.22
Nika EGADZE,4,3A+2A+SEQ,11.3,12.1,0.8
Nika EGADZE,8,FCSp4,3.2,3.52,0.32
Nika EGADZE,9,CCoSp3,3.0,3.39,0.39
Nozomu YOSHIOKA,1,4T,9.5,8.55,-0.95
Nozomu YOSHIOKA,10,StSq2,2.6,2.86,0.26
Nozomu YOSHIOKA,11,CCSp3,2.8,2.92,0.12
Nozomu YOSHIOKA,12,CCoSp2V,1.88,1.96,0.08
Nozomu YOSHIOKA,2,2T,1.3,1.32,0.02
Nozomu YOSHIOKA,4,3A,8.0,9.37,1.37
Nozomu YOSHIOKA,5,FSSp3,2.6,2.75,0.15
Nozomu YOSHIOKA,9,ChSq1,3.0,3.14,0.14
Wesley CHIU,1,3S,4.3,4.55,0.25
Wesley CHIU,10,StSq3,3.3,3.63,0.33
Wesley CHIU,11,CCoSp4,3.5,3.7,0.2
Wesley CHIU,12,CCSp3,2.8,3.08,0.28
Wesley CHIU,2,4T+3T,13.7,14.92,1.22
Wesley CHIU,3,3F,5.3,6.06,0.76
Wesley CHIU,4,3A,8.0,9.26,1.26
Wesley CHIU,5,FSSp4,3.0,3.13,0.13
Wesley CHIU,6,ChSq1,3.0,3.43,0.43
