Skater,Element #,Element,Base Value,Final Score,GOE
KARHUNEN Iida,3,3Lz,5.9,6.49,0.59
KARHUNEN Iida,4,CCoSp4,3.5,4.5,1.0
KARHUNEN Iida,5,ChSq1,3.0,4.07,1.07
KARHUNEN Iida,6,3F,5.3,5.91,0.61
KARHUNEN Iida,7,3Lz+2T+2Lo,9.79,9.96,0.17
KARHUNEN Iida,8,3Lo+2A+SEQ,9.02,9.37,0.35
KARHUNEN Iida,9,2A,3.63,2.64,-0.99
KARHUNEN Iida,10,StSq3,3.3,3.87,0.57
KARHUNEN Iida,11,FCCoSp4,3.5,4.2,0.7
KARHUNEN Iida,12,LSp4,2.7,3.43,0.73
KURAKOVA Ekaterina,1,3Lz+2A+SEQ,9.2,9.87,0.67
KURAKOVA Ekaterina,4,3T+2T+2Lo,7.2,7.5,0.3
KURAKOVA Ekaterina,5,CCoSp2V,1.88,2.07,0.19
KURAKOVA Ekaterina,7,3Lo+2T,6.82,6.82,0.0
KURAKOVA Ekaterina,8,2A,3.63,3.72,0.09
KURAKOVA Ekaterina,9,FCCoSp4,3.5,4.1,0.6
KURAKOVA Ekaterina,10,ChSq1,3.0,4.14,1.14
KURAKOVA Ekaterina,11,StSq3,3.3,3.96,0.66
KURAKOVA Ekaterina,12,LSp3,2.4,2.74,0.34
LEE Haein,1,2A+3T,7.5,8.52,1.02
LEE Haein,3,3S,4.3,5.22,0.92
LEE Haein,4,3Lo,4.9,5.88,0.98
LEE Haein,5,FCSp4,3.2,4.16,0.96
LEE Haein,6,ChSq1,3.0,4.29,1.29
LEE Haein,8,3F+2A+SEQ,9.46,10.6,1.14
LEE Haein,10,FCCoSp4,3.5,4.4,0.9
LEE Haein,11,StSq4,3.9,5.18,1.28
LEE Haein,12,CCoSp4,3.5,4.7,1.2
LEVITO Isabeau,2,2A,3.3,4.24,0.94
LEVITO Isabeau,3,3Lo,4.9,6.3,1.4
LEVITO Isabeau,4,3S,4.3,5.22,0.92
LEVITO Isabeau,5,FCCoSp4,3.5,4.5,1.0
LEVITO Isabeau,6,3F+2A+SEQ,9.46,10.37,0.91
LEVITO Isabeau,9,LSp4,2.7,3.12,0.42
LEVITO Isabeau,10,ChSq1,3.0,4.86,1.86
LEVITO Isabeau,11,StSq3,3.3,4.43,1.13
LEVITO Isabeau,12,CCoSp4,3.5,4.7,1.2
LIU Alysa,2,3Lz+3T,10.1,11.53,1.43
LIU Alysa,3,3S,4.3,5.59,1.29
LIU Alysa,4,CCoSp4,3.5,4.75,1.25
LIU Alysa,5,3Lo,4.9,6.37,1.47
LIU Alysa,6,FCSp3,2.8,3.6,0.8
LIU Alysa,7,3Lz+2A+2T+SEQ,11.55,12.98,1.43
LIU Alysa,9,2A,3.63,4.53,0.9
LIU Alysa,10,StSq4,3.9,5.4,1.5
LIU Alysa,11,ChSq1,3.0,4.86,1.86
LIU Alysa,12,LSp4,2.7,4.05,1.35
MIKUTINA Olga,2,3Lo,4.9,5.67,0.77
MIKUTINA Olga,3,3F+2T,6.6,7.58,0.98
MIKUTINA Olga,4,2A,3.3,3.58,0.28
MIKUTINA Olga,5,FCSp4,3.2,4.07,0.87
MIKUTINA Olga,6,ChSq1,3.0,4.29,1.29
MIKUTINA Olga,10,FCCoSp4,3.5,4.4,0.9
MIKUTINA Olga,11,StSq3,3.3,4.1,0.8
MIKUTINA Olga,12,CCoSp4,3.5,3.7,0.2
NAKAI Ami,1,3A,8.0,9.71,1.71
NAKAI Ami,2,3Lo+2T,6.2,7.39,1.19
NAKAI Ami,3,3Lz+2T,7.2,5.35,-1.85
NAKAI Ami,4,3S,4.3,5.28,0.98
NAKAI Ami,5,FSSp4,3.0,3.86,0.86
NAKAI Ami,6,ChSq1,3.0,4.5,1.5
NAKAI Ami,7,3Lz+2A+2A+SEQ,13.75,15.01,1.26
NAKAI Ami,10,StSq4,3.9,5.07,1.17
NAKAI Ami,11,LSp4,2.7,3.36,0.66
NAKAI Ami,12,CCoSp3V,2.25,3.12,0.87
PETROKINA Niina,1,2A+3T,7.5,8.52,1.02
PETROKINA Niina,2,3Lz,5.9,7.25,1.35
PETROKINA Niina,3,3Lo,4.9,5.81,0.91
PETROKINA Niina,4,3F,5.3,6.28,0.98
PETROKINA Niina,5,FCCoSp4,3.5,4.35,0.85
PETROKINA Niina,6,3Lz+2A+2T+SEQ,11.55,12.06,0.51
PETROKINA Niina,7,3F+2T,7.26,8.09,0.83
PETROKINA Niina,8,StSq4,3.9,5.01,1.11
PETROKINA Niina,9,3S,4.73,5.41,0.68
PETROKINA Niina,10,CCoSp4,3.5,4.25,0.75
PETROKINA Niina,11,ChSq1,3.0,4.43,1.43
PETROKINA Niina,12,LSp4,2.7,3.36,0.66
PETROSIAN Adeliia,3,3S,4.3,5.22,0.92
PETROSIAN Adeliia,4,3Lo,4.9,6.02,1.12
PETROSIAN Adeliia,5,FCSp4,3.2,4.34,1.14
PETROSIAN Adeliia,7,3F+3T,10.45,11.51,1.06
PETROSIAN Adeliia,8,3F,5.83,6.74,0.91
PETROSIAN Adeliia,9,LSp4,2.7,3.36,0.66
PETROSIAN Adeliia,10,StSq4,3.9,4.96,1.06
PETROSIAN Adeliia,11,ChSq1,3.0,4.5,1.5
PETROSIAN Adeliia,12,CCoSp4,3.5,4.6,1.1
PINZARRONE Nina,1,3Lz+3T,10.1,11.03,0.93
PINZARRONE Nina,4,2A,3.3,3.77,0.47
PINZARRONE Nina,5,FCCoSp4,3.5,4.4,0.9
PINZARRONE Nina,6,3Lz+2A+2T+SEQ,11.55,11.55,0.0
PINZARRONE Nina,8,StSq4,3.9,4.96,1.06
PINZARRONE Nina,9,3S,4.73,5.41,0.68
PINZARRONE Nina,10,CCoSp4,3.5,4.7,1.2
PINZARRONE Nina,11,ChSq1,3.0,4.57,1.57
PINZARRONE Nina,12,LSp3,2.4,3.39,0.99
REPOND Kimmy,4,3S,4.3,4.55,0.25
REPOND Kimmy,5,FCCoSp2V,1.88,1.96,0.08
REPOND Kimmy,6,ChSq1,3.0,3.93,0.93
REPOND Kimmy,8,3S+2T+2Lo,8.03,8.21,0.18
REPOND Kimmy,9,3Lo,5.39,6.02,0.63
REPOND Kimmy,10,LSp3,2.4,2.71,0.31
REPOND Kimmy,11,StSq3,3.3,3.91,0.61
REPOND Kimmy,12,CCoSp4,3.5,4.2,0.7
SAKAMOTO Kaori,1,2A,3.3,4.9,1.6
SAKAMOTO Kaori,2,3F,5.3,6.97,1.67
SAKAMOTO Kaori,3,3Lz+2T,7.2,8.97,1.77
SAKAMOTO Kaori,4,FSSp4,3.0,3.99,0.99
SAKAMOTO Kaori,5,StSq4,3.9,5.63,1.73
SAKAMOTO Kaori,6,3S,4.3,6.02,1.72
SAKAMOTO Kaori,7,3F+REP,4.08,4.16,0.08
SAKAMOTO Kaori,8,2A+3T+2T,9.68,11.06,1.38
SAKAMOTO Kaori,9,ChSq1,3.0,5.0,2.0
SAKAMOTO Kaori,10,3Lo,5.39,6.93,1.54
SAKAMOTO Kaori,11,CCoSp4,3.5,4.55,1.05
SAKAMOTO Kaori,12,FCCoSp4,3.5,4.65,1.15
SAMODELKINA Sofia,1,2A,3.3,4.34,1.04
SAMODELKINA Sofia,2,3F,5.3,6.74,1.44
SAMODELKINA Sofia,3,3Lz,5.9,7.16,1.26
SAMODELKINA Sofia,4,2A+2T,4.6,5.21,0.61
SAMODELKINA Sofia,5,FCSp4,3.2,3.79,0.59
SAMODELKINA Sofia,6,StSq3,3.3,3.96,0.66
SAMODELKINA Sofia,7,3Lz+1Eu+3S,11.77,13.46,1.69
SAMODELKINA Sofia,8,3F+3T,10.45,11.59,1.14
SAMODELKINA Sofia,9,3Lo,5.39,6.58,1.19
SAMODELKINA Sofia,10,ChSq1,3.0,4.57,1.57
SAMODELKINA Sofia,11,LSp3,2.4,2.81,0.41
SAMODELKINA Sofia,12,CCoSp3,3.0,3.56,0.56
SAUTER Julia,1,3Lz,5.9,7.67,1.77
SAUTER Julia,2,3Lo+2T,6.2,6.76,0.56
SAUTER Julia,3,3T+2T+2Lo,7.2,7.74,0.54
SAUTER Julia,4,3S+2A+SEQ,7.6,7.6,0.0
SAUTER Julia,5,StSq4,3.9,4.74,0.84
SAUTER Julia,6,3Lo,5.39,6.16,0.77
SAUTER Julia,7,CCoSp4,3.5,4.15,0.65
SAUTER Julia,8,3S,4.73,5.41,0.68
SAUTER Julia,9,2A,3.63,4.24,0.61
SAUTER Julia,10,FSSp4,3.0,3.64,0.64
SAUTER Julia,11,FCCoSp4,3.5,4.1,0.6
SAUTER Julia,12,ChSq1,3.0,4.07,1.07
SCHILD Lorine,1,3Lz+3T,10.1,9.0,-1.1
SCHILD Lorine,3,3Lz,5.9,6.32,0.42
SCHILD Lorine,4,FCCoSp4,3.5,3.9,0.4
SCHILD Lorine,5,2A,3.3,3.68,0.38
SCHILD Lorine,6,ChSq1,3.0,3.57,0.57
SCHILD Lorine,7,3Lo+2A+SEQ,9.02,7.55,-1.47
SCHILD Lorine,8,3Lo+2T+2T,8.25,8.18,-0.07
SCHILD Lorine,10,CCoSp4,3.5,3.7,0.2
SCHILD Lorine,11,StSq3,3.3,3.63,0.33
SCHILD Lorine,12,LSp4,2.7,3.16,0.46
SENIUK Mariia,1,2A,3.3,3.77,0.47
SENIUK Mariia,3,2S,1.3,1.3,0.0
SENIUK Mariia,4,ChSq1,3.0,3.79,0.79
SENIUK Mariia,6,CCoSp4,3.5,4.3,0.8
SENIUK Mariia,9,3F+2T,7.26,5.44,-1.82
SENIUK Mariia,10,FCSp2,2.3,2.5,0.2
SENIUK Mariia,11,StSq2,2.6,2.71,0.11
SENIUK Mariia,12,FCCoSp3,3.0,3.26,0.26
SHIN Jia,1,2A,3.3,4.34,1.04
SHIN Jia,2,3Lz+3T,10.1,11.87,1.77
SHIN Jia,3,3S,4.3,5.34,1.04
SHIN Jia,4,3Lo,4.9,3.36,-1.54
SHIN Jia,5,CCoSp3,3.0,3.94,0.94
SHIN Jia,6,3F+2T+2Lo,9.13,10.19,1.06
SHIN Jia,7,3F+2A+SEQ,9.46,11.05,1.59
SHIN Jia,8,3Lz,6.49,7.92,1.43
SHIN Jia,9,FCSp2,2.3,2.6,0.3
SHIN Jia,10,StSq4,3.9,5.18,1.28
SHIN Jia,11,ChSq1,3.0,4.71,1.71
SHIN Jia,12,FCCoSp4,3.5,4.55,1.05
ZHANG Ruiyang,1,3F+2T,6.6,7.28,0.68
ZHANG Ruiyang,3,3Lo,4.9,5.53,0.63
ZHANG Ruiyang,4,2A,3.3,3.77,0.47
ZHANG Ruiyang,5,FCCoSp4,3.5,3.9,0.4
ZHANG Ruiyang,6,ChSq1,3.0,4.21,1.21
ZHANG Ruiyang,8,3S,4.73,5.41,0.68
ZHANG Ruiyang,9,2A+1Eu+2F,6.16,6.3,0.14
ZHANG Ruiyang,10,CCoSp4,3.5,4.2,0.7
ZHANG Ruiyang,11,StSq4,3.9,4.9,1.0
ZHANG Ruiyang,12,LSp4,2.7,3.32,0.62
